band,date,venue,city,,,,
Huey Lewis & The News,2/28/1987,Reynolds Coliseum,"Raleigh, NC",,,,
Eric Clapton,3/30/1990,Dean Smith Center,"Chapel Hill, NC",,,,
Paul McCartney,7/20/1990,Carter-Finley Stadium,"Raleigh, NC",,,,
Squeeze,9/20/1991,Walnut Creek,"Raleigh, NC",,,,
Sting,9/20/1991,Walnut Creek,"Raleigh, NC",,,,
Michael Bolton,8/2/1992,Walnut Creek,"Raleigh, NC",,,,
Billy Joel,4/12/1994,Dean Smith Center,"Chapel Hill, NC",,,,
Elton John,4/12/1994,Dean Smith Center,"Chapel Hill, NC",,,,
Steely Dan,8/30/1994,Walnut Creek,"Raleigh, NC",,1,,
Steely Dan,7/7/1996,Walnut Creek,"Raleigh, NC",,2,,
Dave Matthews Band,8/30/1998,Walnut Creek,"Raleigh, NC",,,,
Dave Matthews Band,7/31/1999,Walnut Creek,"Raleigh, NC",,,,
Fastball,9/10/1999,Walnut Creek,"Raleigh, NC",,,,
Goo Goo Dolls,9/10/1999,Walnut Creek,"Raleigh, NC",,,,
Sugar Ray,9/10/1999,Walnut Creek,"Raleigh, NC",,,,
Blind Boys of Alabama,9/28/1999,Walnut Creek,"Raleigh, NC",,,,
Tom Petty,9/28/1999,Walnut Creek,"Raleigh, NC",,,,
Phish,6/25/2000,Walnut Creek,"Raleigh, NC",,first What's the Use,,
Steely Dan,7/21/2000,Walnut Creek,"Raleigh, NC",,3,,
Third Eye Blind,8/12/2000,Walnut Creek,"Raleigh, NC",,,,
Vertical Horizon,8/12/2000,Walnut Creek,"Raleigh, NC",,,,
String Cheese Incident,11/9/2000,Ritz,"Raleigh, NC",,,,
Keller Williams,11/11/2000,Peasant's Pub,"Greenville, NC","""+Curtis""",,,
Angie Aparo,11/16/2000,Cat's Cradle,"Carrboro, NC",,,,
Pat McGee Band,11/16/2000,Cat's Cradle,"Carrboro, NC",,,,
North Mississippi Allstars,2/2/2001,Brewery,"Raleigh, NC",,,,
Keller Williams,2/7/2001,UNCW Campus,"Wilmington, NC","""+Curtis""",,,
Keller Williams,2/10/2001,Peasant's Pub,"Greenville, NC","""+Curtis""",,,
Keller Williams,2/11/2001,Brewery,"Raleigh, NC","""+Curtis""",,,
Trey Anastasio,3/2/2001,Thomas Wolfe Auditorium,"Asheville, NC",,,,
Strangefolk,4/20/2001,Cat's Cradle,"Carrboro, NC",,,,
Yonder Mountain String Band,4/20/2001,Cat's Cradle,"Carrboro, NC",,,,
Black Crowes,4/28/2001,Center City Fest,"Charlotte, NC",,,,
Bob Dylan,4/28/2001,Center City Fest,"Charlotte, NC",,,,
Duncan Sheik,4/28/2001,Center City Fest,"Charlotte, NC",,,,
String Cheese Incident,4/28/2001,Center City Fest,"Charlotte, NC",,,,
Tesla,4/28/2001,Center City Fest,"Charlotte, NC",,,,
Widespread Panic,4/29/2001,Center City Fest,"Charlotte, NC",,,,
Trey Anastasio,7/27/2001,Walnut Creek,"Raleigh, NC",,,,
Ben Folds,9/7/2001,Cat's Cradle,"Carrboro, NC",,,,
Citizen Cope,9/7/2001,Cat's Cradle,"Carrboro, NC",,,,
Ben Folds,9/8/2001,Cat's Cradle,"Carrboro, NC",,,,
Citizen Cope,9/8/2001,Cat's Cradle,"Carrboro, NC",,,,
Acoustic Syndicate,9/21/2001,Mountain Oasis Fest,"Union Grove, NC",,,KW,7
Alison Krauss + Union Station,9/21/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
Clarence Gatemouth Brown,9/22/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
Dan Tyminski Band,9/22/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
G Love & Special Sauce,9/22/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
Medeski Martin and Wood,9/22/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
North Mississippi Allstars,9/22/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
Del McCoury Band,9/23/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
The Wailers,9/23/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
The Word,9/23/2001,Mountain Oasis Fest,"Union Grove, NC",,,,
Fantomas,10/7/2001,Walnut Creek,"Raleigh, NC",,,,
Tool,10/7/2001,Walnut Creek,"Raleigh, NC",,,,
The Breakfast,10/25/2001,PKP House - UNC,"Chapel Hill, NC",,,,
Dashboard Confessional,10/31/2001,Cat's Cradle,"Carrboro, NC",,,,
Keller Williams,11/2/2001,Peasant's Pub,"Greenville, NC","""+Curtis""",,,
String Cheese Incident,11/7/2001,Memorial Hall,"Chapel Hill, NC",,,,
Oysterhead,11/17/2001,Civic Center,"Asheville, NC",,,,
Ben Folds,11/26/2001,Ritz,"Raleigh, NC",,,,
North Mississippi Allstars,12/2/2001,Brewery,"Raleigh, NC",,,,
Keller Williams,2/1/2002,Attic,"Greenville, NC","""+Curtis""",,,
Soulive,2/20/2002,Lincoln Theatre,"Raleigh, NC",,,,
Umphrey's McGee,2/21/2002,Peasant's Pub,"Greenville, NC",,1,,
Umphrey's McGee,2/22/2002,Cat's Cradle,"Carrboro, NC",,2,,
moe.,3/1/2002,Ritz,"Raleigh, NC",,,,
Blue Dogs,4/5/2002,Lincoln Theatre,"Raleigh, NC",,,,
Widespread Panic,4/19/2002,Walnut Creek,"Raleigh, NC",,,,
Widespread Panic,4/20/2002,Walnut Creek,"Raleigh, NC",,,,
Keller Williams,8/2/2002,Attic,"Greenville, NC","""+Curtis""",,,
Umphrey's McGee,10/10/2002,Cat's Cradle,"Carrboro, NC",,3,,
Lake Trout,10/11/2002,Brewery,"Raleigh, NC",,,,
Pat McGee Band,10/21/2002,Moore Square,"Raleigh, NC",,,,
Wilco,11/1/2002,Classic Center Theatre,"Athens, GA",,,,
Calexico,11/2/2002,Cat's Cradle,"Carrboro, NC",,,,
Tool,11/3/2002,Roanoke Civic Center,"Roanoke, VA",,,,
Phish,3/1/2003,Greensboro Coliseum,"Greensboro, NC",,,,
Umphrey's McGee,4/4/2003,Lincoln Theatre,"Raleigh, NC",,4,,
Phish,7/25/2003,Verizon Wireless,"Charlotte, NC",,"first Drowned, Kung. Very nice Hood > Bowie",,
Phish,7/27/2003,Walnut Creek,"Raleigh, NC",,,,
Umphrey's McGee,10/4/2003,Georgia Theatre,"Athens, GA",,5,,
Felix da Housecat,10/31/2003,Voodoo Fest,"New Orleans, LA",,,,
Iggy Pop,10/31/2003,Voodoo Fest,"New Orleans, LA",,,,
Marilyn Manson,10/31/2003,Voodoo Fest,"New Orleans, LA",,,,
Paul Oakenfold,10/31/2003,Voodoo Fest,"New Orleans, LA",,,,
The Disco Biscuits,10/31/2003,Voodoo Fest,"New Orleans, LA",,,,
The New Deal,10/31/2003,Voodoo Fest,"New Orleans, LA",,,,
A Perfect Circle,11/1/2003,Voodoo Fest,"New Orleans, LA",,,Steely Dan,10
Fuel,11/1/2003,Voodoo Fest,"New Orleans, LA",,,,
Galactic,11/1/2003,Voodoo Fest,"New Orleans, LA",,,,
Cypress Hill,11/2/2003,Voodoo Fest,"New Orleans, LA",,,,
Umphrey's McGee,11/14/2003,Cat's Cradle,"Carrboro, NC",,6,,
Umphrey's McGee,3/25/2004,Blue Cat,"Knoxville, TN",,7,,
Umphrey's McGee,3/26/2004,Georgia Theatre,"Athens, GA",,8,,
Umphrey's McGee,3/27/2004,Cat's Cradle,"Carrboro, NC",,9,,
Ben Folds,4/30/2004,Davidson College,"Davidson, NC",,,,
Acoustic Syndicate,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,Maps & Atlases,8
Bob Dylan,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Calexico,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
David Byrne,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Del McCoury Band,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Jazz Mandolin Project,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Los Lobos,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Medeski Martin and Wood,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
moe.,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
MOFRO,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
New Monsoon,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
North Mississippi Allstars,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Sam Bush,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Trey Anastasio,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Umphrey's McGee,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,10,,
Wilco,6/11/2004,Bonnaroo Music Festival,"Manchester, TN",,,,
Chicago,7/9/2004,Walnut Creek,"Raleigh, NC",,,,
"Earth, Wind & Fire",7/9/2004,Walnut Creek,"Raleigh, NC",,,,
Umphrey's McGee,7/20/2004,Marzz Theatre,"Wilmington, NC",,11,,
Umphrey's McGee,7/21/2004,Music Farm,"Charleston, SC",,12,,
Umphrey's McGee,7/24/2004,Variety Playhouse,"Atlanta, GA",,13,,
Bruce Hornsby,8/20/2004,Koka Booth Amphitheatre,"Cary, NC",,,,
Medeski Martin and Wood,11/21/2004,Lincoln Theatre,"Raleigh, NC",,,,
Soulive,11/21/2004,Lincoln Theatre,"Raleigh, NC",,,,
Umphrey's McGee,12/2/2004,Good Music & Other Stuff,"Asheville, NC",,14,,
Umphrey's McGee,12/2/2004,Orange Peel,"Asheville, NC",,15,,
Umphrey's McGee,12/3/2004,Variety Playhouse,"Atlanta, GA",,16,,
Umphrey's McGee,12/4/2004,Music Farm,"Charleston, SC",,17,,
Umphrey's McGee,12/6/2004,Cat's Cradle,"Carrboro, NC",,18,,
Umphrey's McGee,12/30/2004,Riviera Theatre,"Chicago, IL",,19,,
Umphrey's McGee,12/31/2004,Riviera Theatre,"Chicago, IL",,20,,
Umphrey's McGee,3/10/2005,Georgia Theatre,"Athens, GA",,21,,
Rolling Stones,10/8/2005,Wallace Wade Stadium,"Durham, NC",,,,
Umphrey's McGee,10/12/2005,Blue Cat,"Knoxville, TN",,22,,
Umphrey's McGee,10/13/2005,Orange Peel,"Asheville, NC",,23,,
Umphrey's McGee,10/17/2005,Lincoln Theatre,"Raleigh, NC",,24,,
Medeski Martin and Wood,12/7/2005,Lincoln Theatre,"Raleigh, NC",,,,
Umphrey's McGee,2/21/2006,Neighborhood Theatre,"Charlotte, NC",,25,,
Umphrey's McGee,5/3/2006,Ritz,"Raleigh, NC",,26,,
GRAB,6/28/2006,Walnut Creek,"Raleigh, NC",,,,
Phil Lesh & Friends,6/28/2006,Walnut Creek,"Raleigh, NC",,,,
The Benevento/Russo Duo,6/28/2006,Walnut Creek,"Raleigh, NC",,,,
Spin Doctors,7/8/2006,Moore Square,"Raleigh, NC",,,,
Steely Dan,8/12/2006,PNC Amphitheatre,"Charlotte, NC",,4,,
Umphrey's McGee,8/18/2006,Koka Booth Amphitheatre,"Cary, NC",,27,,
Better Than Ezra,8/20/2006,Walnut Creek,"Raleigh, NC",,,,
Hootie and the Blowfish,8/20/2006,Walnut Creek,"Raleigh, NC",,,,
Umphrey's McGee,10/5/2006,9:30 Club,"Washington, DC",,28,,
Umphrey's McGee,2/23/2007,Music Farm,"Charleston, SC",,29,,
Umphrey's McGee,2/24/2007,Neighborhood Theatre,"Charlotte, NC",,30,,
Umphrey's McGee,2/25/2007,Legends,"Boone, NC",,31,,
Medeski Martin and Wood,3/6/2007,Lincoln Theatre,"Raleigh, NC",,,,
The Wood Brothers,3/6/2007,Lincoln Theatre,"Raleigh, NC",,,,
My Morning Jacket,3/8/2007,Orange Peel,"Asheville, NC",,,,
Amy Winehouse,4/27/2007,Coachella,"Indio, CA",,,,
Bjork,4/27/2007,Coachella,"Indio, CA",,,,
El-P,4/27/2007,Coachella,"Indio, CA",,,,
Gillian Welch,4/27/2007,Coachella,"Indio, CA",,,,
Jesus and Mary Chain,4/27/2007,Coachella,"Indio, CA",,,,
Nickel Creek,4/27/2007,Coachella,"Indio, CA",,,,
Peeping Tom,4/27/2007,Coachella,"Indio, CA",,,,
Rufus Wainwright,4/27/2007,Coachella,"Indio, CA",,,,
Silversun Pickups,4/27/2007,Coachella,"Indio, CA",,,,
Stephen Marley ft. Junior Gong,4/27/2007,Coachella,"Indio, CA",,,,
!!!,4/28/2007,Coachella,"Indio, CA",,,UM,80
Hot Chip,4/28/2007,Coachella,"Indio, CA",,,,
Jack's Mannequin,4/28/2007,Coachella,"Indio, CA",,,,
Kings of Leon,4/28/2007,Coachella,"Indio, CA",,,,
Red Hot Chili Peppers,4/28/2007,Coachella,"Indio, CA",,,,
Regina Spektor,4/28/2007,Coachella,"Indio, CA",,,,
The Arcade Fire,4/28/2007,Coachella,"Indio, CA",,,,
The New Pornographers,4/28/2007,Coachella,"Indio, CA",,,,
The Night Watchman,4/28/2007,Coachella,"Indio, CA",,,,
The Noisettes,4/28/2007,Coachella,"Indio, CA",,,,
Air,4/29/2007,Coachella,"Indio, CA",,,,
Explosions in the Sky,4/29/2007,Coachella,"Indio, CA",,,,
Jose Gonzales,4/29/2007,Coachella,"Indio, CA",,,,
Lily Allen,4/29/2007,Coachella,"Indio, CA",,,,
Paul van Dyk,4/29/2007,Coachella,"Indio, CA",,,,
Rage Against the Machine,4/29/2007,Coachella,"Indio, CA",,,,
RATATAT,4/29/2007,Coachella,"Indio, CA",,,,
Richie Hawtin,4/29/2007,Coachella,"Indio, CA",,,,
Soulwax,4/29/2007,Coachella,"Indio, CA",,,,
The Kooks,4/29/2007,Coachella,"Indio, CA",,,,
The Roots,4/29/2007,Coachella,"Indio, CA",,,,
Willie Nelson,4/29/2007,Coachella,"Indio, CA",,,,
Steely Dan,5/11/2007,Chastain Park,"Atlanta, GA",,5,,
!!!,5/28/2007,Cat's Cradle,"Carrboro, NC",,,Phish,9
Maserati,5/28/2007,Cat's Cradle,"Carrboro, NC",,,,
Conspirator w/Jake Cinninger,6/29/2007,Lincoln Theatre,"Raleigh, NC",,,,
Disco Biscuits,6/29/2007,Lincoln Theatre,"Raleigh, NC",,,,
Umphrey's McGee,6/29/2007,Lincoln Theatre,"Raleigh, NC",,32,,
Disco Biscuits,6/30/2007,Masquerade,"Atlanta, GA",,,,
Umphrey's McGee,6/30/2007,Masquerade,"Atlanta, GA",,33,,
Ben Folds,7/31/2007,Walnut Creek,"Raleigh, NC",,,,
John Mayer,7/31/2007,Walnut Creek,"Raleigh, NC",,,,
The Allman Brothers,8/11/2007,Walnut Creek,"Raleigh, NC",,,,
Arrested Development,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Big Fat Gap,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Bombadil,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Donna the Buffalo,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Justin Townes Earle,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Keith Frank & The Soileau Zydeco Band,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Lost in the Trees,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Paleface,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Richie Havens,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
stephaniesid,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Mantras,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Never,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Tres Chicas,10/11/2007,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Umphrey's McGee,11/15/2007,Amos' South End,"Charlotte, NC",,34,,
Fiery Furnaces,1/29/2008,Cat's Cradle,"Carrboro, NC",,,,
Holy Fuck,1/29/2008,Cat's Cradle,"Carrboro, NC",,,,
Super Furry Animals,1/29/2008,Cat's Cradle,"Carrboro, NC",,,,
I Was Totally Destroying It,2/11/2008,Tir Na Nog,"Raleigh, NC",,,,
Umphrey's McGee,4/1/2008,Amos' South End,"Charlotte, NC",,35,,
Big Fat Gap,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Bombadil,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Chatham County Line,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Donna the Buffalo,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Keith Frank & The Soileau Zydeco Band,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Laura Reed & Deep Pocket,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Squirrel Nut Zippers,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
the everybodyfields,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Infamous Stringdusters,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Toubab Krewe,4/17/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Avett Brothers,7/26/2008,Koka Booth Amphitheatre,"Cary, NC",,,,
STS9,7/31/2008,Koka Booth Amphitheatre,"Cary, NC",,,,
Umphrey's McGee,7/31/2008,Koka Booth Amphitheatre,"Cary, NC",,36,,
Umphrey's McGee,7/31/2008,Lincoln Theatre,"Raleigh, NC",,37,,
John Mayer,8/27/2008,Walnut Creek,"Raleigh, NC",,,,
The Benevento/Russo Duo,9/10/2008,Pour House Music Hall,"Raleigh, NC",,,,
Ben Folds Five,9/18/2008,Memorial Hall,"Chapel Hill, NC",,,,
RATATAT,9/26/2008,Cat's Cradle,"Carrboro, NC",,,,
Allman Brothers Band,10/3/2008,Walnut Creek,"Raleigh, NC",,,,
Phil Lesh & Friends,10/3/2008,Walnut Creek,"Raleigh, NC",,,,
Big Fat Gap,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Bombadil,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Donna the Buffalo,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Laura Reed & Deep Pocket,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Scythian,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Duhks,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Greencards,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Never,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
The Old Ceremony,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Toubab Krewe,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Turtle Duhks,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Unknown Tongues,10/11/2008,Shakori Grassroots Fest,"Silk Hope, NC",,,,
Ray LaMontagne,10/16/2008,Meymandi Hall,"Raleigh, NC",,,,
Umphrey's McGee,11/21/2008,9:30 Club,"Washington, DC",,38,,
Umphrey's McGee,11/22/2008,9:30 Club,"Washington, DC",,39,,
I Was Totally Destroying It,11/25/2008,IWTDI house,"Chapel Hill, NC",,,,
Dr. Dog,2/11/2009,Pour House,"Raleigh, NC",,,,
LADYMOON,2/14/2009,High Noon Saloon,"Madison, WI",,,,
Umphrey's McGee,2/14/2009,Barrymore Theater,"Madison, WI",,40,,
Umphrey's McGee,2/19/2009,Variety Playhouse,"Atlanta, GA",,41,,
Umphrey's McGee,2/20/2009,Variety Playhouse,"Atlanta, GA",,42,,
Umphrey's McGee,2/21/2009,Orange Peel,"Asheville, NC",,43,,
Umphrey's McGee,2/22/2009,Neighborhood Theatre,"Charlotte, NC",,44,,
Telepath,3/19/2009,Lincoln Theatre,"Raleigh, NC",,,,
The New Deal,3/19/2009,Lincoln Theatre,"Raleigh, NC",,,,
Steely Dan,6/9/2009,DPAC,"Durham, NC",,6,,
Q-Tip,6/12/2009,House of Blues,"Chicago, IL",,,,
The HUE,6/13/2009,House of Blues,"Chicago, IL",,,,
Umphrey's McGee,6/25/2009,Lewis Ginter Botanical Garden,"Richmond, VA",,45,,
Umphrey's McGee,7/10/2009,Norva,"Norfolk, VA",,46,,
Dr. Dog,10/21/2009,Cat's Cradle,"Carrboro, NC",,,,
Squirrel Nut Zippers,12/18/2009,Lincoln Theatre,"Raleigh, NC",,,,
Umphrey's McGee,12/29/2009,Vic Theatre,"Chicago, IL",,47,,
Umphrey's McGee,12/30/2009,Aragon Ballroom,"Chicago, IL",,48,,
Umphrey's McGee,12/31/2009,Aragon Ballroom,"Chicago, IL",,49,,
Project Object,1/2/2010,Martyr's,"Chicago, IL",,,,
The HUE,1/2/2010,Martyr's,"Chicago, IL",,,,
Zappa Plays Zappa,1/13/2010,Lincoln Theatre,"Raleigh, NC",,,,
Umphrey's McGee,2/6/2010,Tabernacle,"Atlanta, GA",,50,,
State Radio,2/12/2010,Music Farm,"Charleston, SC",,,,
Umphrey's McGee,2/12/2010,Music Farm,"Charleston, SC",,51,,
Umphrey's McGee,2/13/2010,Neighborhood Theatre,"Charlotte, NC",,52,,
Disappears,2/15/2010,Cat's Cradle,"Carrboro, NC",,,,
Tortoise,2/15/2010,Cat's Cradle,"Carrboro, NC",,1,,
Kool Keith,3/16/2010,Cat's Cradle,"Carrboro, NC",,,,
Yeasayer,4/8/2010,Cat's Cradle,"Carrboro, NC",,,,
Kaki King,4/30/2010,Cat's Cradle,"Carrboro, NC",,,,
I Was Totally Destroying It,5/7/2010,Local 506,"Chapel Hill, NC",,,,
Brainchild,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Chicago Farmer,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Cornmeal,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Future Rock,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
G Love & Special Sauce,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Macpodz,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Pretty Lights,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Steez,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
STS9,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
The Avett Brothers,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
The Hood Internet,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
The Morningsides,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Umphrey's McGee,5/28/2010,Summercamp Festival,"Chilicothe, IL",,53,,
Zappa Plays Zappa,5/28/2010,Summercamp Festival,"Chilicothe, IL",,,,
Umphrey's McGee,5/29/2010,Summercamp Festival,"Chilicothe, IL",,54,,
Umphrey's McGee,5/30/2010,Summercamp Festival,"Chilicothe, IL",,55,,
Umphrey's McGee,5/30/2010,Summercamp Festival,"Chilicothe, IL",,56,,
Phoenix,6/11/2010,Koka Booth Amphitheatre,"Cary, NC",,,,
Phish,7/1/2010,Walnut Creek,"Raleigh, NC",,"first Time Loves a Hero, Have Mercy, Light Up or Leave Me Alone",,
Paul McCartney,7/28/2010,TWC Arena,"Charlotte, NC",,,,
Umphrey's McGee,8/13/2010,Red Hat Amphitheatre,"Raleigh, NC",,57,,
Brendan Bayliss and Friends,9/3/2010,North Coast Music Fest,"Chicago, IL",,,,
Disco Biscuits,9/3/2010,North Coast Music Fest,"Chicago, IL",,,,
Future Rock,9/3/2010,North Coast Music Fest,"Chicago, IL",,,,
Grace Potter and the Nocturnals,9/3/2010,North Coast Music Fest,"Chicago, IL",,,,
Phantogram,9/3/2010,North Coast Music Fest,"Chicago, IL",,,,
Pretty Lights,9/3/2010,North Coast Music Fest,"Chicago, IL",,,,
The New Deal,9/3/2010,North Coast Music Fest,"Chicago, IL",,,,
Maps & Atlases,9/4/2010,North Coast Music Fest,"Chicago, IL",,,,
Omega Moos,9/4/2010,Metro,"Chicago, IL",,,,
Umphrey's McGee,9/4/2010,North Coast Music Fest,"Chicago, IL",,58,,
The HUE,9/9/2010,Canopy Club,"Urbana, IL",,,,
Pavement,9/13/2010,Pritzker Pavilion,"Chicago, IL",,,,
Garage a Trois,9/16/2010,Double Door,"Chicago, IL",,,,
The HUE,9/16/2010,Double Door,"Chicago, IL",,,,
Jeff Parker / John Herndon / Josh Abrams,10/8/2010,Rodan,"Chicago, IL",,,,
Dan Deacon,10/10/2010,Logan Square Monument,"Chicago, IL",,,,
Lightning Bolt,10/10/2010,Logan Square Monument,"Chicago, IL",,,,
The Egg,10/14/2010,Kinetic Playground,"Chicago, IL",,,,
Graham Czach w/Kris Myers,10/15/2010,Martyr's,"Chicago, IL",,,,
Umphrey's McGee,10/22/2010,State Theater,"Kalamazoo, MI",,59,,
Ariel Pink's Haunted Graffiti,11/19/2010,Metro,"Chicago, IL",,,,
The HUE,11/19/2010,Martyr's,"Chicago, IL",,,,
Vapors of Morphine,11/20/2010,Reggie's,"Chicago, IL",,,,
Brendan Bayliss,11/23/2010,Alive One,"Chicago, IL",,,,
Brendan and Jake Holiday Show,12/5/2010,Park West,"Chicago, IL",,,,
Zappa Plays Zappa,12/11/2010,Congress Theater,"Chicago, IL",,,,
Minus the Bear,12/16/2010,Vic Theatre,"Chicago, IL",,,,
Umphrey's McGee,12/29/2010,Riviera Theatre,"Chicago, IL",,60,,
Umphrey's McGee,12/30/2010,Riviera Theatre,"Chicago, IL",,61,,
Umphrey's McGee,12/31/2010,Riviera Theatre,"Chicago, IL",,62,,
Wu-Tang Clan,1/8/2011,Congress Theater,"Chicago, IL",,,,
Liz Phair,1/22/2011,Metro,"Chicago, IL",,,,
Yo La Tengo,2/4/2011,Metro,"Chicago, IL",,,,
