band,date,venue,city,,,,
Tortoise,2/12/2011,Empty Bottle (late),"Chicago, IL",,2,,
Mux Mool,2/26/2011,Bottom Lounge,"Chicago, IL",,,,
Umphrey's McGee,3/2/2011,Barrymore Theater,"Madison, WI",,63,,
Digital Tape Machine,3/3/2011,Majestic Theatre,"Madison, WI",,,,
Umphrey's McGee,3/3/2011,Barrymore Theater,"Madison, WI",,64,,
Nels Cline,3/9/2011,Hideout,"Chicago, IL",,,,
Elephant 6 Orchestra,3/15/2011,Lincoln Hall,"Chicago, IL",,,,
I Was Totally Destroying It,4/16/2011,Dave's Records,"Chicago, IL",,,,
Pinback,4/24/2011,Bottom Lounge,"Chicago, IL",,,,
Mogwai,4/29/2011,Metro,"Chicago, IL",,,,
...and you will know us by the Trail of Dead,5/7/2011,Bottom Lounge,"Chicago, IL",,,,
Surfer Blood,5/7/2011,Bottom Lounge,"Chicago, IL",,,,
Aesop Rock,5/9/2011,Lincoln Hall,"Chicago, IL",,,MMW,6
Bill Frisell,5/14/2011,Evanston SPACE,"Evanston, IL",,,,
Local H,5/20/2011,Double Door,"Chicago, IL",,,,
Bonnie Prince Billy,5/23/2011,Pritzker Pavilion,"Chicago, IL",,,,
Iron and Wine,6/6/2011,Pritzker Pavilion,"Chicago, IL",,,,
Ray LaMontagne,6/7/2011,Pritzker Pavilion,"Chicago, IL",,,,
The Eternals,6/11/2011,Pritzker Pavilion,"Chicago, IL",,,,
Wild Belle,6/11/2011,Pritzker Pavilion,"Chicago, IL",,,,
Yo La Tengo,6/25/2011,Green Fest,"Chicago, IL",,,,
White Denim,6/30/2011,Schuba's,"Chicago, IL",,,,
Ben Folds,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,,,
Blind Pilot,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,,,
Dave Matthews Band,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,,,
Dirty Dozen Brass Band,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,,,
Drive-By Truckers,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,,,
Edward Sharpe and the Magnetic Zeroes,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,,,
Liz Phair,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,,,
Umphrey's McGee,7/9/2011,Lakeside Amphitheatre,"Chicago, IL",,65,,
Battles,7/15/2011,Pitchfork Fest,"Chicago, IL",,,,
Guided by Voices,7/15/2011,Pitchfork Fest,"Chicago, IL",,,,
tUnE-yArDs,7/15/2011,Pitchfork Fest,"Chicago, IL",,,,
Ariel Pink's Haunted Graffiti,7/17/2011,Pitchfork Fest,"Chicago, IL",,,,
Deerhunter,7/17/2011,Pitchfork Fest,"Chicago, IL",,,,
Kurt Vile,7/17/2011,Pitchfork Fest,"Chicago, IL",,,,
Odd Future,7/17/2011,Pitchfork Fest,"Chicago, IL",,,,
Blonde Redhead,7/18/2011,Pritzker Pavilion,"Chicago, IL",,,,
Bon Iver,7/24/2011,Chicago Theatre,"Chicago, IL",,,,
The Rosebuds,7/24/2011,Chicago Theatre,"Chicago, IL",,,,
Marco Benevento Trio,8/4/2011,Mayne Stage,"Chicago, IL",,,,
Foo Fighters,8/6/2011,Metro,"Chicago, IL",,,,
Steely Dan,8/13/2011,Ravinia,"Chicago, IL",,7,,
Eighth Blackbird - Music for 18 Musicians,8/16/2011,Pritzker Pavilion,"Chicago, IL",,,,
Phish,8/16/2011,UIC Pavilion,"Chicago, IL",,first Ha Ha Ha,,
Mux Mool,8/17/2011,Mid,"Chicago, IL",,,,
Phish,8/17/2011,UIC Pavilion,"Chicago, IL",,first Col. Forbin > Mockingbird,,
Umphrey's McGee,9/1/2011,Red Hat Amphitheatre,"Raleigh, NC",,66,,
Chris Thile and Michael Daves,9/10/2011,Lincoln Hall,"Chicago, IL",,,,
The Olivia Tremor Control,9/13/2011,Bottom Lounge,"Chicago, IL",,,,
Japandroids,9/23/2011,Schuba's,"Chicago, IL",,,,
Broken Social Scene,9/28/2011,7-11 Parking Lot in Wrigleyville,"Chicago, IL",,,,
Stephen Malkmus and the Jicks,10/6/2011,Metro,"Chicago, IL",,,,
Project Object,10/22/2011,Martyr's,"Chicago, IL",,,,
Soul Summit,10/22/2011,Double Door,"Chicago, IL",,,,
Sebadoh,10/30/2011,Schuba's,"Chicago, IL",,,,
Lotus,11/4/2011,Majestic Theatre,"Madison, WI",,,,
Dale Earnhardt Jr Jr,11/18/2011,Cubby Bear,"Chicago, IL",,,,
Bon Iver,12/9/2011,UIC Pavilion,"Chicago, IL",,,,
Brendan and Jake Holiday Show,12/11/2011,Park West,"Chicago, IL",,,,
Wu-Tang Clan,1/8/2012,Congress Theater,"Chicago, IL",,,,
Surfer Blood,1/17/2012,Schuba's,"Chicago, IL",,,,
The Mantras,1/24/2012,Abbey Pub,"Chicago, IL",,,,
Tortoise,1/24/2012,Empty Bottle (early),"Chicago, IL",,3,,
Tortoise,1/24/2012,Empty Bottle (late),"Chicago, IL",,4,,
Umphrey's McGee,2/3/2012,First Avenue,"Minneapolis, MN",,67,,
Brokeback,2/9/2012,Hideout,"Chicago, IL",,,,
Eleventh Dream Day,2/9/2012,Hideout,"Chicago, IL",,,,
Marco Benevento,2/11/2012,Kendall Pub,"Yorkville, IL",,,,
Toro Y Moi,2/19/2012,Metro,"Chicago, IL",,,,
Punch Brothers,3/1/2012,Park West,"Chicago, IL",,,,
The Clippers,3/19/2012,Underground Lounge,"Chicago, IL",,,,
Pulsar Quartet,3/27/2012,Whistler,"Chicago, IL",,,,
Lost in the Trees,4/3/2012,Schuba's,"Chicago, IL",,,,
Jeff Parker,4/6/2012,Empty Bottle,"Chicago, IL",,,,
Maps & Atlases,4/8/2012,Saki Records (RIP),"Chicago, IL",,,,
White Denim,4/19/2012,Lincoln Hall,"Chicago, IL",,,,
Tortoise,4/28/2012,Empty Bottle (early),"Chicago, IL",,5,,
Tortoise,4/28/2012,Empty Bottle (late),"Chicago, IL",,6,,
M83,5/4/2012,Riviera Theatre,"Chicago, IL",,,,
Ty Segall,5/10/2012,Lincoln Hall,"Chicago, IL",,,,
Maps & Atlases,5/11/2012,Metro,"Chicago, IL",,,,
Kurt Vile,5/20/2012,Lincoln Hall,"Chicago, IL",,,,
Punch Brothers,6/5/2012,Cubby Bear,"Chicago, IL",,,,
Battles,6/14/2012,Bottom Lounge,"Chicago, IL",,,,
The Old Ceremony,6/15/2012,Schuba's,"Chicago, IL",,,,
Pinback,6/17/2012,Bottom Lounge,"Chicago, IL",,,,
Tim Kinsella,6/17/2012,Bottom Lounge,"Chicago, IL",,,,
Cloud Cult,6/18/2012,Pritzker Pavilion,"Chicago, IL",,,,
Judson Claiborne,6/18/2012,Pritzker Pavilion,"Chicago, IL",,,,
Dinosaur Jr,6/23/2012,Green Fest,"Chicago, IL",,,,
El-P,7/6/2012,Bottom Lounge,"Chicago, IL",,,,
Killer Mike,7/6/2012,Bottom Lounge,"Chicago, IL",,,,
Japandroids,7/12/2012,Lincoln Hall,"Chicago, IL",,,,
Ty Segall,7/12/2012,Lincoln Hall,"Chicago, IL",,,,
Japandroids,7/13/2012,Pitchfork Fest,"Chicago, IL",,,,
Lotus Plaza,7/13/2012,Subterranean,"Chicago, IL",,,,
Purity Ring,7/13/2012,Pitchfork Fest,"Chicago, IL",,,,
The Olivia Tremor Control,7/13/2012,Pitchfork Fest,"Chicago, IL",,,,
Atlas Sound,7/14/2012,Pitchfork Fest,"Chicago, IL",,,,
Lotus Plaza,7/14/2012,Pitchfork Fest,"Chicago, IL",,,,
Sleigh Bells,7/14/2012,Pitchfork Fest,"Chicago, IL",,,,
Youth Lagoon,7/14/2012,Pitchfork Fest,"Chicago, IL",,,,
The Olivia Tremor Control,7/15/2012,Reggie's,"Chicago, IL",,,,
Jeff Parker,7/22/2012,Owl,"Chicago, IL",,,,
El-P,7/25/2012,Congress Theater,"Chicago, IL",,,,
RJD2,7/25/2012,Congress Theater,"Chicago, IL",,,,
Mux Mool,7/27/2012,Bottom Lounge,"Chicago, IL",,,,
Pulsar Quartet,7/29/2012,Hungry Brain,"Chicago, IL",,,,
Maps & Atlases,9/1/2012,312 Block Party,"Chicago, IL",,,,
Umphrey's McGee,9/2/2012,Congress Theater,"Chicago, IL",,68,,
Marco Benevento,9/12/2012,Martyr's,"Chicago, IL",,,,
Built to Spill,9/15/2012,Riot Fest,"Chicago, IL",,,,
Coheed and Cambria,9/15/2012,Riot Fest,"Chicago, IL",,,,
Elvis Costello,9/15/2012,Riot Fest,"Chicago, IL",,,,
Fishbone,9/15/2012,Riot Fest,"Chicago, IL",,,,
Jesus and Mary Chain,9/15/2012,Riot Fest,"Chicago, IL",,,,
Minus the Bear,9/15/2012,Riot Fest,"Chicago, IL",,,,
NOFX,9/15/2012,Riot Fest,"Chicago, IL",,,,
Papa M,9/29/2012,Burlington,"Chicago, IL",,,,
Ben Folds Five,9/30/2012,Chicago Theatre,"Chicago, IL",,,,
Maps & Atlases,10/28/2012,Lincoln Hall,"Chicago, IL",,,,
White Denim,10/28/2012,Lincoln Hall,"Chicago, IL",,,,
The Musical Box,11/11/2012,Vic Theatre,"Chicago, IL",,,,
Tame Impala,11/13/2012,Metro,"Chicago, IL",,,,
Jeff Parker,11/28/2012,Hideout,"Chicago, IL",,,,
Tortoise,12/20/2012,Empty Bottle,"Chicago, IL",,7,,
Maps & Atlases,12/30/2012,Schuba's,"Chicago, IL",,,,
Maps & Atlases,12/31/2012,Schuba's,"Chicago, IL",,,,
Pulsar Quartet,1/2/2013,Whistler,"Chicago, IL",,,,
"Ephelon Trio plays ""Donuts"" by J Dilla",1/27/2013,Whistler,"Chicago, IL",,,,
Jeff Parker / Charles Rumback Quartet,1/29/2013,Whistler,"Chicago, IL",,,,
The Mantras,2/1/2013,Abbey Pub,"Chicago, IL",,,,
UV Hippo,2/1/2013,Abbey Pub,"Chicago, IL",,,,
Mingo Fishtrap,2/9/2013,House of Blues,"Chicago, IL",,,,
Windy City Soul Club,2/16/2013,Empty Bottle,"Chicago, IL",,,,
Umphrey's McGee,2/17/2013,Canopy Club,"Urbana, IL",,69,,
The Choir,2/21/2013,Burlington,"Chicago, IL",,,,
Tame Impala,3/6/2013,Vic Theatre,"Chicago, IL",,,,
Brokeback,4/26/2013,Hideout,"Chicago, IL",,,,
William Tyler,4/26/2013,Hideout,"Chicago, IL",,,,
Kurt Vile,5/14/2013,Lincoln Hall,"Chicago, IL",,,,
Steve Gunn,5/14/2013,Lincoln Hall,"Chicago, IL",,w/ KV,,
El Ten Eleven,5/22/2013,Evanston SPACE,"Evanston, IL",,,,
Dale Earnhardt Jr Jr,5/24/2013,Lincoln Hall,"Chicago, IL",,,,
Ariel Pink,6/1/2013,Empty Bottle,"Chicago, IL",,,,
The Mantras,6/8/2013,Martyr's,"Chicago, IL",,,,
UV Hippo,6/8/2013,Martyr's,"Chicago, IL",,,,
Zmick,6/8/2013,Martyr's,"Chicago, IL",,,,
Brokeback,6/17/2013,Pritzker Pavilion,"Chicago, IL",,,,
Daniel Lanois,6/17/2013,Pritzker Pavilion,"Chicago, IL",,,,
Tobacco,6/30/2013,Milwaukee Ave Arts Fest,"Chicago, IL",,,,
The Black Keys,7/11/2013,Walnut Creek,"Raleigh, NC",,,,
The Flaming Lips,7/11/2013,Walnut Creek,"Raleigh, NC",,,,
Tortoise,7/13/2013,Empty Bottle,"Chicago, IL",,8,,
Jeff Parker / Rob Mazurek play Thelonius Monk,7/18/2013,Constellation,"Chicago, IL",,,,
Bjork,7/19/2013,Pitchfork Fest,"Chicago, IL",,,,
...and you will know us by the Trail of Dead,7/20/2013,Pitchfork Fest,"Chicago, IL",,,,
Metz,7/20/2013,Pitchfork Fest,"Chicago, IL",,,,
El-P,7/21/2013,Pitchfork Fest,"Chicago, IL",,,,
Foxygen,7/21/2013,Pitchfork Fest,"Chicago, IL",,,,
Killer Mike,7/21/2013,Pitchfork Fest,"Chicago, IL",,,,
Phish,7/21/2013,Northerly Island,"Chicago, IL",,first Harpua,,
Run the Jewels,7/21/2013,Pitchfork Fest,"Chicago, IL",,,,
Yo La Tengo,7/21/2013,Pitchfork Fest,"Chicago, IL",,,,
Jeff Parker / John Herndon / Rob Mazurek / Matthew Lux,7/23/2013,Whistler,"Chicago, IL",,,,
Jeff Parker / John Herndon / Rob Mazurek / Matthew Lux,7/30/2013,Whistler,"Chicago, IL",,,,
Jeff Parker and Nels Cline Quartet,8/8/2013,Pritzker Pavilion,"Chicago, IL",,,,
STS9,8/17/2013,Northerly Island,"Chicago, IL",,,,
Umphrey's McGee,8/17/2013,Northerly Island,"Chicago, IL",,70,,
Sylvan Esso,9/6/2013,Metro,"Chicago, IL",,,,
Volcano Choir,9/6/2013,Metro,"Chicago, IL",,,,
Deerhunter,9/10/2013,Metro,"Chicago, IL",,,,
Doc Aquatic,9/13/2013,LAB,"Asheville, NC",,,,
Mountain Feist,9/13/2013,LAB,"Asheville, NC",,,,
Steely Dan,9/17/2013,Red Hat Amphitheatre,"Raleigh, NC",,8,,
The Mantras,10/18/2013,Asheville Music Hall,"Asheville, NC",,,,
Schooner,10/25/2013,Brookline Tavern,"Columbia, SC",,,,
Karen Elson,10/26/2013,DPAC,"Durham, NC",,,,
Neko Case,10/26/2013,DPAC,"Durham, NC",,,,
Mister F,11/5/2013,One Stop,"Asheville, NC",,,,
Peter Rowan,11/5/2013,Isis Theatre,"Asheville, NC",,,,
Jon Stickley Trio,11/12/2013,5 Walnut Wine Bar,"Asheville, NC",,,,
Brushfire Stankgrass,12/27/2013,Pisgah Brewery,"Black Mountain, NC",,,,
The Mantras,12/27/2013,Pisgah Brewery,"Black Mountain, NC",,,,
Brushfire Stankgrass,12/31/2013,Emerald Lounge,"Asheville, NC",,,,
JAY Z,1/4/2014,TWC Arena,"Charlotte, NC",,,,
Schooner,1/30/2014,Mothlight,"Asheville, NC",,,,
Umphrey's McGee,2/14/2014,Thomas Wolfe Auditorium,"Asheville, NC",,71,,
Mister F,2/16/2014,One Stop,"Asheville, NC",,,,
Stephen Malkmus and the Jicks,2/20/2014,Lincoln Hall,"Chicago, IL",,,,
Umphrey's McGee,2/21/2014,Riviera Theatre,"Chicago, IL",,72,,
The Mantras,3/1/2014,Asheville Music Hall,"Asheville, NC",,,,
Purling Hiss,3/3/2014,Cat's Cradle,"Carrboro, NC",,,,
Stephen Malkmus and the Jicks,3/3/2014,Cat's Cradle,"Carrboro, NC",,,,
Fireside Collective,3/13/2014,Isis Theatre,"Asheville, NC",,,,
Unknown Hinson,3/14/2014,Grey Eagle,"Asheville, NC",,,,
Umphrey's McGee,4/8/2014,Georgia Theatre,"Athens, GA",,73,,
Local Natives,4/21/2014,Orange Peel,"Asheville, NC",,,,
El-P,4/23/2014,Orange Peel,"Asheville, NC",,,,
Bernie Worrell,4/24/2014,Diana Wortham Theatre,"Asheville, NC",,,,
Bradford Cox / Nick Zasser,4/24/2014,CCCD,"Asheville, NC",,,,
Com Truise,4/24/2014,Orange Peel,"Asheville, NC",,,,
Dan Deacon,4/24/2014,New Mountain,"Asheville, NC",,,,
Kraftwerk,4/24/2014,Thomas Wolfe Auditorium,"Asheville, NC",,,,
Shigeto,4/24/2014,Orange Peel,"Asheville, NC",,,,
Darkstar,4/25/2014,Diana Wortham Theatre,"Asheville, NC",,,,
Kraftwerk,4/25/2014,Thomas Wolfe Auditorium,"Asheville, NC",,,,
Mix Master Mike,4/25/2014,MoogFest Outdoor Stage,"Asheville, NC",,,,
Chic,4/26/2014,Thomas Wolfe Auditorium,"Asheville, NC",,,,
M.I.A.,4/26/2014,Thomas Wolfe Auditorium,"Asheville, NC",,,,
Salva,4/27/2014,MoogFest Outdoor Stage,"Asheville, NC",,,,
Treasure Fingers,4/27/2014,MoogFest Outdoor Stage,"Asheville, NC",,,,
Portugal. The Man,5/11/2014,Orange Peel,"Asheville, NC",,,,
The Quiet Life,5/11/2014,Orange Peel,"Asheville, NC",,,,
Primus,5/18/2014,Thomas Wolfe Auditorium,"Asheville, NC",,,,
Cass McCombs,6/12/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Cherub,6/12/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Cloud Nothings,6/12/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
J Roddy Walston & The Business,6/12/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Omar Souleyman,6/12/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Polica,6/12/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
White Denim,6/12/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Dr. Dog,6/13/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Kanye West,6/13/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Neutral Milk Hotel,6/13/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Phoenix,6/13/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Speedy Ortiz,6/13/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Umphrey's McGee,6/13/2014,Bonnaroo Music Festival,"Manchester, TN",,74,,
Arc Iris,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Blackberry Smoke,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
CAKE,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Damon Albarn,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Darkside,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Drive-By Truckers,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Jack White,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
King Khan & The Shrines,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
OGYA (Afrobeat),6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Skrillex,6/14/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
A$AP Ferg,6/15/2014,Bonnaroo Music Festival,"Manchester, TN",,,Tortoise,10
Broken Bells,6/15/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Elton John,6/15/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
The Avett Brothers,6/15/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Warpaint,6/15/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Washed Out,6/15/2014,Bonnaroo Music Festival,"Manchester, TN",,,,
Neko Case,6/26/2014,Orange Peel,"Asheville, NC",,,,
Beck,7/12/2014,Thomas Wolfe Auditorium,"Asheville, NC",,,,
Avers,7/16/2014,Grey Eagle,"Asheville, NC",,,,
Hermit Kings,7/16/2014,Grey Eagle,"Asheville, NC",,,,
The Musical Box,7/22/2014,Orange Peel,"Asheville, NC",,,,
Phish,7/25/2014,PNC Amphitheatre,"Charlotte, NC",,first When the Circus Comes to Town,,
Umphrey's McGee,7/31/2014,Fillmore,"Charlotte, NC",,75,,
Steely Dan,8/4/2014,War Memorial Auditorium,"Greensboro, NC",,9,,
Manchester Orchestra,8/5/2014,Orange Peel,"Asheville, NC",,,,
ZOSO,8/21/2014,Orange Peel,"Asheville, NC",,,,
Umphrey's McGee,8/29/2014,Classic Center Theatre,"Athens, GA",,76,,
Delta Spirit,9/3/2014,Orange Peel,"Asheville, NC",,,,
Sister Sparrow & The Dirty Birds,9/10/2014,Orange Peel,"Asheville, NC",,,,
Zappa Plays Zappa,9/11/2014,Orange Peel,"Asheville, NC",,,,
Real Estate,9/18/2014,Orange Peel,"Asheville, NC",,,,
Yesterday and Today: A Beatles Tribute,9/19/2014,Diana Wortham Theatre,"Asheville, NC",,,,
Wood Bros.,9/20/2014,Orange Peel,"Asheville, NC",,,,
J Mascis,9/28/2014,Orange Peel,"Asheville, NC",,,,
Chromeo,10/2/2014,Orange Peel,"Asheville, NC",,,,
Wave Racer,10/2/2014,Orange Peel,"Asheville, NC",,,,
Foxygen,10/3/2014,Orange Peel,"Asheville, NC",,,,
The War on Drugs,10/15/2014,Orange Peel,"Asheville, NC",,,,
St. Paul and the Broken Bones,10/24/2014,Orange Peel,"Asheville, NC",,,,
The New Pornographers,11/5/2014,Orange Peel,"Asheville, NC",,,,
Marco Benevento,11/15/2014,Asheville Music Hall,"Asheville, NC",,,,
Fireside Collective,11/20/2014,Isis Theatre,"Asheville, NC",,,,
Seth Kauffman,11/21/2014,Grey Eagle,"Asheville, NC",,,,
Tyler Ramsey,11/21/2014,Grey Eagle,"Asheville, NC",,,,
Bombadil,12/5/2014,Mothlight,"Asheville, NC",,,,
Umphrey's McGee,12/31/2014,Tabernacle,"Atlanta, GA",,77,,
Umphrey's McGee,1/1/2015,Tabernacle,"Atlanta, GA",,78,,
Chris Forsyth and the Solar Motel Band,1/5/2015,Mothlight,"Asheville, NC",,,,
Ken Vandermark / Nate Wooley,1/15/2015,Mothlight,"Asheville, NC",,,,
Scurvy Bros. and Snakehips,1/18/2015,One Stop,"Asheville, NC",,,,
Umphrey's McGee,1/29/2015,Tennessee Theatre,"Knoxville, TN",,79,,
Umphrey's McGee,2/7/2015,US Cellular Center,"Asheville, NC",,80,,
Hiss Golden Messenger,3/10/2015,Caledonia Lounge,"Athens, GA",,,,
William Tyler,3/10/2015,Caledonia Lounge,"Athens, GA",,,,
A$AP Rocky,3/13/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
Empire of the Sun,3/13/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
Run the Jewels,3/13/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
Bassnectar,3/14/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
DJ Windows 98 (Win Butler),3/14/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
Ghostface Killah + BADBADNOTGOOD,3/14/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
The Range,3/14/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
TV on the Radio,3/14/2015,Buku Music + Arts Fest,"New Orleans, LA",,,,
Die Antwoord,3/23/2015,Orange Peel,"Asheville, NC",,,,
Mike Dillon Band,3/23/2015,Mothlight,"Asheville, NC",,,,
Sam Amidon,3/24/2015,Mothlight,"Asheville, NC",,,,
Steve Gunn,3/24/2015,Mothlight,"Asheville, NC",,,,
Barr Brothers,3/25/2015,Grey Eagle,"Asheville, NC",,,,
Woody Wood,3/25/2015,Grey Eagle,"Asheville, NC",,,,
Dr. Dog,3/26/2015,Orange Peel,"Asheville, NC",,,,
Father John Misty,3/27/2015,Orange Peel,"Asheville, NC",,,,
King Tuff,3/27/2015,Orange Peel,"Asheville, NC",,,,
Keller Williams,3/28/2015,Orange Peel,"Asheville, NC",,,,
Son Lux,3/29/2015,Orange Peel,"Asheville, NC",,,,
tUne-yArDs,3/29/2015,Orange Peel,"Asheville, NC",,,,
Flock of Dimes,4/2/2015,Orange Peel,"Asheville, NC",,,,
Sylvan Esso,4/2/2015,Orange Peel,"Asheville, NC",,,,
The Atlas Moth,4/5/2015,Orange Peel,"Asheville, NC",,,,
Stars,4/9/2015,Orange Peel,"Asheville, NC",,,,
Wild Moccasins,4/9/2015,Orange Peel,"Asheville, NC",,,,
Akir,4/10/2015,Orange Peel,"Asheville, NC",,,,
CF,4/10/2015,Orange Peel,"Asheville, NC",,,,
Immortal Technique,4/10/2015,Orange Peel,"Asheville, NC",,,,
Poison Pen,4/10/2015,Orange Peel,"Asheville, NC",,,,
The Goodbye Party,4/12/2015,Mothlight,"Asheville, NC",,,,
Waxahatchee,4/12/2015,Mothlight,"Asheville, NC",,,,
Sir Richard Bishop,4/14/2015,Mothlight,"Asheville, NC",,,,
Hiss Golden Messenger,4/16/2015,Mothlight,"Asheville, NC",,,,
Natalie Prass,4/16/2015,Mothlight,"Asheville, NC",,,,
Kyle Hollingsworth Band,4/18/2015,New Mountain,"Asheville, NC",,,,
moe.,4/18/2015,New Mountain,"Asheville, NC",,,,
Keb' Mo',4/30/2015,Orange Peel,"Asheville, NC",,,,
Speedy Ortiz,5/8/2015,Cat's Cradle,"Carrboro, NC",,,,
Bo Ningen,5/11/2015,Orange Peel,"Asheville, NC",,,,
TV on the Radio,5/11/2015,Orange Peel,"Asheville, NC",,,,
Break Science,5/15/2015,Hangout Fest,"Gulf Shores, AL",,,,
Charles Bradley & His Extraordinaires,5/15/2015,Hangout Fest,"Gulf Shores, AL",,,,
Foo Fighters,5/15/2015,Hangout Fest,"Gulf Shores, AL",,,,
Jack U,5/15/2015,Hangout Fest,"Gulf Shores, AL",,,,
Jenny Lewis,5/15/2015,Hangout Fest,"Gulf Shores, AL",,,,
Paramore,5/15/2015,Hangout Fest,"Gulf Shores, AL",,,,
Umphrey's McGee,5/15/2015,Hangout Fest,"Gulf Shores, AL",,81,,
Adventure Club,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Beats Antique,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Drive-By Truckers,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Future Islands,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Jeff the Brotherhood,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Major Lazer,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Odesza,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Preservation Hall Jazz Band,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Skylar Spence,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Strand of Oaks,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Toro Y Moi,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Xavier Rudd,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Zac Brown Band,5/16/2015,Hangout Fest,"Gulf Shores, AL",,,,
Beck,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
Floating Action,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
Goldroom,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
Krewella,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
My Morning Jacket,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
