band,date,venue,city,,,,
Robert Delong,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
St. Lucia,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
TV on the Radio,5/17/2015,Hangout Fest,"Gulf Shores, AL",,,,
RUSH,5/28/2015,Greensboro Coliseum,"Greensboro, NC",,,,
Courtney Barnett,6/11/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Dej Loaf,6/11/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Mac Demarco,6/11/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Strand of Oaks,6/11/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
The Growlers,6/11/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Unlocking the Truth,6/11/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Against Me!,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
"Earth, Wind & Fire",6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Kendrick Lamar,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
King Gizzard & the Lizard Wizard,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Moon Taxi,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Odesza,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Pallbearer,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Run the Jewels,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Tears for Fears,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Unknown Mortal Orchestra,6/12/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
All Them Witches,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Bleachers,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Childish Gambino,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
D'Angelo & the Vanguard,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Jamie xx,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Jon Cleary & the Absolute Monster Gentlemen,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
My Morning Jacket,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Priory,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Slayer,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Sturgill Simpson,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Superjam,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
The War on Drugs,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Trampled by Turtles,6/13/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Billy Joel,6/14/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Freddie Gibbs & Madlib,6/14/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Hiss Golden Messenger,6/14/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Punch Brothers,6/14/2015,Bonnaroo Music Festival,"Manchester, TN",,,,
Death Grips,7/12/2015,Orange Peel,"Asheville, NC",,,,
Earl Sweatshirt,7/24/2015,Orange Peel,"Asheville, NC",,,,
NxWorries,7/24/2015,Orange Peel,"Asheville, NC",,,,
Ghostface Killah,7/26/2015,Orange Peel,"Asheville, NC",,,,
Raekwon,7/26/2015,Orange Peel,"Asheville, NC",,,,
Red Baraat,8/2/2015,Pack Square Park / LEAF,"Asheville, NC",,,,
Failure,8/9/2015,Neighborhood Theatre,"Charlotte, NC",,,,
Hum,8/9/2015,Neighborhood Theatre,"Charlotte, NC",,,,
Bloodkin,8/29/2015,Isis Theatre,"Asheville, NC",,,,
Diarrhea Planet,8/29/2015,Mothlight,"Asheville, NC",,,,
King Gizzard & the Lizard Wizard,9/6/2015,Subterranean,"Chicago, IL",,,,
Michael Rault,9/6/2015,Subterranean,"Chicago, IL",,,,
Mild-High Club,9/6/2015,Subterranean,"Chicago, IL",,,,
Destroyer,10/7/2015,Grey Eagle,"Asheville, NC",,,,
Diarrhea Planet,10/31/2015,War Memorial Auditorium,"Nashville, TN",,,,
Jeff the Brotherhood,10/31/2015,War Memorial Auditorium,"Nashville, TN",,,,
Ben Folds & yMusic,11/7/2015,Greenfield Lake Amphitheater,"Wilmington, NC",,,,
Dead & Co.,11/14/2015,Greensboro Coliseum,"Greensboro, NC",,,,
Bulgogi,11/16/2015,Mothlight,"Asheville, NC",,,,
Wand,11/16/2015,Mothlight,"Asheville, NC",,,,
Atlas Sound,12/4/2015,Orange Peel,"Asheville, NC",,,,
Deerhunter,12/4/2015,Orange Peel,"Asheville, NC",,,,
The Cheeksters,12/19/2015,Millroom,"Asheville, NC",,,,
Unknown Hinson,12/31/2015,Grey Eagle,"Asheville, NC",,,,
Primus,1/26/2016,Bojangles Coliseum,"Charlotte, NC",,,,
Tool,1/26/2016,Bojangles Coliseum,"Charlotte, NC",,,,
Lower Dens,2/14/2016,Orange Peel,"Asheville, NC",,,,
Unknown Mortal Orchestra,2/14/2016,Orange Peel,"Asheville, NC",,,,
Dark Star Orchestra,2/18/2016,Orange Peel,"Asheville, NC",,,,
Umphrey's McGee,2/19/2016,US Cellular Center,"Asheville, NC",,82,,
Umphrey's McGee,2/20/2016,US Cellular Center,"Asheville, NC",,83,,
Ty Segall,2/24/2016,Orange Peel,"Asheville, NC",,,,
Kurt Vile,2/26/2016,Orange Peel,"Asheville, NC",,,,
CHVRCHES,3/11/2016,Buku Music + Arts Fest,"New Orleans, LA",,,,
Earl Sweatshirt,3/12/2016,Buku Music + Arts Fest,"New Orleans, LA",,,,
Nero,3/12/2016,Buku Music + Arts Fest,"New Orleans, LA",,,,
Pretty Lights (w Lettuce horns),3/12/2016,Buku Music + Arts Fest,"New Orleans, LA",,,,
The Front Bottoms,3/20/2016,Orange Peel,"Asheville, NC",,,,
Thin Lips,3/20/2016,Orange Peel,"Asheville, NC",,,,
Tortoise,3/21/2016,Orange Peel,"Asheville, NC",,9,,
Smashed Cardinals,3/25/2016,Vinyl Pi,"Huntersville, NC",,,,
Yo La Tengo,4/2/2016,Orange Peel,"Asheville, NC",,,,
Umphrey's McGee,4/9/2016,Ritz,"Raleigh, NC",,84,,
I Was Totally Destroying It,4/23/2016,Deep South,"Raleigh, NC",,,,
Speedy Ortiz,5/13/2016,Mothlight,"Asheville, NC",,,,
Smashed Cardinals,5/14/2016,Vinyl Pi,"Huntersville, NC",,,,
SeepeopleS,5/26/2016,Pour House,"Raleigh, NC",,,,
!!!,5/28/2016,Cat's Cradle,"Carrboro, NC",,,,
William Tyler,6/7/2016,Grimey's,"Nashville, TN",,,,
Vulfpeck,6/9/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Waxahatchee,6/9/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Dungen,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
FIDLAR,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
IBEYI,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
J Cole,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
LCD Soundsystem,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
M83,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
St. Lucia,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Tame Impala,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Vince Staples,6/10/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Band of Horses,6/11/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Claypool Lennon Delirium,6/11/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
HAIM,6/11/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Pearl Jam,6/11/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Steve Gunn,6/11/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Boy & Bear,6/12/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Dead & Co.,6/12/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Kurt Vile,6/12/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Lettuce,6/12/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Sara Watkins,6/12/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Third Eye Blind,6/12/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Ween,6/12/2016,Bonnaroo Music Festival,"Manchester, TN",,,,
Mux Mool,7/1/2016,Lost Lake,"Denver, CO",,,,
Sinkane,7/2/2016,Red Rocks Amphitheatre,"Morrison, CO",,,,
Umphrey's McGee,7/2/2016,Red Rocks Amphitheatre,"Morrison, CO",,86,,
Zappa Plays Zappa,7/2/2016,Red Rocks Amphitheatre,"Morrison, CO",,,,
Joe Russo's Almost Dead,7/3/2016,Red Rocks Amphitheatre,"Morrison, CO",,,,
Umphrey's McGee,7/3/2016,Red Rocks Amphitheatre,"Morrison, CO",,87,,
Chris Forsyth and the Solar Motel Band,7/22/2016,Union Transfer,"Philadelphia, PA",,,,
Super Furry Animals,7/22/2016,Union Transfer,"Philadelphia, PA",,,,
Jeff Swanson Group,9/22/2016,Whistler,"Chicago, IL",,,,
Hiss Golden Messenger,10/14/2016,Mothlight,"Asheville, NC",,,,
Sloan,11/11/2016,Bottom Lounge,"Chicago, IL",,,,
Brendan and Jake Holiday Show,12/10/2016,Park West,"Chicago, IL",,,,
Umphrey's McGee,12/29/2016,Riviera Theatre,"Chicago, IL",,88,,
Umphrey's McGee,12/31/2016,Aragon Ballroom,"Chicago, IL",,89,,
Bitchin' Bajas,1/7/2017,Hungry Brain,"Chicago, IL",,,,
Bayonne,1/11/2017,Lincoln Hall,"Chicago, IL",,,,
Tortoise,1/11/2017,Lincoln Hall,"Chicago, IL",,10,,
OHMME,1/13/2017,Hungry Brain,"Chicago, IL",,,,
The Embers,2/3/2017,Carnival Conquest,Carribbean Ocean,,,,
Wilco,2/23/2017,Chicago Theatre,"Chicago, IL",,,,
Ween,3/17/2017,Aragon Ballroom,"Chicago, IL",,,,
Dudu Tassa & the Kuwaitis,4/3/2017,Smoothie King Center,"New Orleans, LA",,,,
Radiohead,4/3/2017,Smoothie King Center,"New Orleans, LA",,,,
The New Pornographers,4/19/2017,Metro,"Chicago, IL",,,,
Waxahatchee,4/19/2017,Metro,"Chicago, IL",,,,
The New Pornographers,4/21/2017,Metro,"Chicago, IL",,,,
Waxahatchee,4/21/2017,Metro,"Chicago, IL",,,,
MGMT,5/19/2017,Hangout Fest,"Gulf Shores, AL",,,,
Band of Horses,5/20/2017,Hangout Fest,"Gulf Shores, AL",,,,
Bob Moses,5/21/2017,Hangout Fest,"Gulf Shores, AL",,,,
Chance the Rapper,5/21/2017,Hangout Fest,"Gulf Shores, AL",,,,
Franz Ferdinand,5/21/2017,Hangout Fest,"Gulf Shores, AL",,,,
Dave Matthews & Tim Reynolds,6/11/2017,Northerly Island,"Chicago, IL",,,,
Chastity Belt,6/15/2017,Subterranean,"Chicago, IL",,,,
Thundercat,6/25/2017,Mamby on the Beach,"Chicago, IL",,,,
Todd Terje and the Olsens,6/25/2017,Mamby on the Beach,"Chicago, IL",,,,
Tom Petty & the Heartbreakers,6/29/2017,Wrigley Field,"Chicago, IL",,,,
Speedy Ortiz,7/8/2017,West Fest,"Chicago, IL",,,,
Fielded,7/13/2017,Constellation,"Chicago, IL",,,,
William Tyler,7/13/2017,Constellation,"Chicago, IL",,,,
Danny Brown,7/14/2017,Pitchfork Fest,"Chicago, IL",,,,
Dirty Projectors,7/14/2017,Pitchfork Fest,"Chicago, IL",,,,
LCD Soundsystem,7/14/2017,Pitchfork Fest,"Chicago, IL",,,,
Thurston Moore Group,7/14/2017,Pitchfork Fest,"Chicago, IL",,,,
William Tyler,7/14/2017,Pitchfork Fest,"Chicago, IL",,,,
Angel Olsen,7/15/2017,Pitchfork Fest,"Chicago, IL",,,,
Francis & the Lights,7/15/2017,Pitchfork Fest,"Chicago, IL",,,,
George Clinton & Parliament,7/15/2017,Pitchfork Fest,"Chicago, IL",,,,
Madlib,7/15/2017,Pitchfork Fest,"Chicago, IL",,,,
Mitski,7/15/2017,Pitchfork Fest,"Chicago, IL",,,,
PJ Harvey,7/15/2017,Pitchfork Fest,"Chicago, IL",,,,
The Feelies,7/15/2017,Pitchfork Fest,"Chicago, IL",,,,
American Football,7/16/2017,Pitchfork Fest,"Chicago, IL",,,,
Nicolas Jaar,7/16/2017,Pitchfork Fest,"Chicago, IL",,,,
RIDE,7/16/2017,Pitchfork Fest,"Chicago, IL",,,,
Bonnie Raitt,7/17/2017,Wrigley Field,"Chicago, IL",,,,
James Taylor,7/17/2017,Wrigley Field,"Chicago, IL",,,,
Umphrey's McGee,7/21/2017,Northerly Island,"Chicago, IL",,90,,
Umphrey's McGee,7/23/2017,Riverside,"Peoria, IL",,91,,
GZA,7/25/2017,City Winery,"Chicago, IL",,,,
Guided by Voices,7/29/2017,Wicker Park Fest,"Chicago, IL",,,,
Flock of Dimes,8/4/2017,Thalia Hall,"Chicago, IL",,,,
Sylvan Esso,8/4/2017,Thalia Hall,"Chicago, IL",,,,
The New Pornographers,8/18/2017,Live on King St.,"Madison, WI",,,,
Leo Kottke,8/21/2017,City Winery,"Chicago, IL",,,,
Green Day,8/24/2017,Wrigley Field,"Chicago, IL",,,,
Laetitia Sadier Source Ensemble,8/29/2017,Schuba's,"Chicago, IL",,,,
Jay Som,9/14/2017,Subterranean,"Chicago, IL",,,,
Soccer Mommy,9/14/2017,Subterranean,"Chicago, IL",,,,
Stef Chura,9/14/2017,Subterranean,"Chicago, IL",,,,
Ministry,9/15/2017,Riot Fest,"Chicago, IL",,,,
New Order,9/15/2017,Riot Fest,"Chicago, IL",,,,
Nine Inch Nails,9/15/2017,Riot Fest,"Chicago, IL",,,,
Vic Mensa,9/15/2017,Riot Fest,"Chicago, IL",,,,
At the Drive-In,9/16/2017,Riot Fest,"Chicago, IL",,,,
Bad Brains,9/16/2017,Riot Fest,"Chicago, IL",,,,
Danzig,9/16/2017,Riot Fest,"Chicago, IL",,,,
Gogol Bordello,9/16/2017,Riot Fest,"Chicago, IL",,,,
New Found Glory,9/16/2017,Riot Fest,"Chicago, IL",,,,
Queens of the Stone Age,9/16/2017,Riot Fest,"Chicago, IL",,,,
The Lawrence Arms,9/16/2017,Riot Fest,"Chicago, IL",,,,
Wu-Tang Clan,9/16/2017,Riot Fest,"Chicago, IL",,,,
Best Coast,9/17/2017,Riot Fest,"Chicago, IL",,,,
Built to Spill,9/17/2017,Riot Fest,"Chicago, IL",,,,
Dinosaur Jr.,9/17/2017,Riot Fest,"Chicago, IL",,,,
GWAR,9/17/2017,Riot Fest,"Chicago, IL",,,,
M.I.A.,9/17/2017,Riot Fest,"Chicago, IL",,,,
Minus the Bear,9/17/2017,Riot Fest,"Chicago, IL",,,,
Paramore,9/17/2017,Riot Fest,"Chicago, IL",,,,
Pennywise,9/17/2017,Riot Fest,"Chicago, IL",,,,
Thee Oh Sees,9/17/2017,Thalia Hall,"Chicago, IL",,,,
TV on the Radio,9/17/2017,Riot Fest,"Chicago, IL",,,,
Jon Gram,9/21/2017,Tonic Room,"Chicago, IL",,,,
Jon Stickley Trio,9/21/2017,Tonic Room,"Chicago, IL",,,,
Umphrey's McGee,9/23/2017,Northerly Island,"Chicago, IL",,92,,
The Rembrandts,9/29/2017,Genessee Theater,"Waukegan, IL",,,,
Sun Kil Moon,10/3/2017,Old Town School of Folk Music,"Chicago, IL",,,,
Jeff Swanson Group,10/12/2017,California Clipper,"Chicago, IL",,,,
Steely Dan,10/16/2017,Van Andel Arena,"Grand Rapids, MI",,10,,
Hiss Golden Messenger,10/24/2017,Lincoln Hall,"Chicago, IL",,,,
Courtney Barnett & Kurt Vile,10/26/2017,Rockefeller Chapel at UChicago,"Chicago, IL",,,,
Do Make Say Think,12/8/2017,Metro,"Chicago, IL",,,,
Brendan and Jake Holiday Show,12/15/2017,Park West,"Chicago, IL",,,,
Local H,12/30/2017,Subterranean,"Chicago, IL",,,,
Guided by Voices,12/31/2017,Empty Bottle,"Chicago, IL",,,,
Steve Winwood,2/22/2018,Chicago Theatre,"Chicago, IL",,,,
KNOWER,2/24/2018,Logan Square Auditorium,"Chicago, IL",,,,
Chicago,3/9/2018,Five Flags Center,"Dubuque, IA",,,,
Jeff Swanson Group,3/11/2018,Whistler,"Chicago, IL",,,,
Bruce Hornsby,3/22/2018,North Shore Center for the Performing Arts,"Skokie, IL",,,,
Chelsea Wolfe,4/7/2018,Riviera Theatre,"Chicago, IL",,,,
Ministry,4/7/2018,Riviera Theatre,"Chicago, IL",,,,
The God Bombs,4/7/2018,Riviera Theatre,"Chicago, IL",,,,
The Bed Band,4/8/2018,Vic Theatre,"Chicago, IL",,,,
Ty Segall,4/8/2018,Vic Theatre,"Chicago, IL",,,,
Speedy Ortiz,5/12/2018,Subterranean,"Chicago, IL",,,,
Portugal. The Man,5/18/2018,Hangout Fest,"Gulf Shores, AL",,,,
Pussy Riot,5/18/2018,Hangout Fest,"Gulf Shores, AL",,,,
Anderson .Paak & the Free Nationals,5/19/2018,Hangout Fest,"Gulf Shores, AL",,,,
St. Vincent,5/19/2018,Hangout Fest,"Gulf Shores, AL",,,,
Alex Lahey,5/20/2018,Hangout Fest,"Gulf Shores, AL",,,,
Big Boi,5/20/2018,Hangout Fest,"Gulf Shores, AL",,,,
Kendrick Lamar,5/20/2018,Hangout Fest,"Gulf Shores, AL",,,,
David Cross,6/1/2018,Chicago Theatre,"Chicago, IL",,,,
David Byrne,6/2/2018,Auditorium Theatre,"Chicago, IL",,,,
Bon Iver,6/3/2018,Pritzker Pavilion,"Chicago, IL",,,,
S. Carey,6/3/2018,Pritzker Pavilion,"Chicago, IL",,,,
Stephen Malkmus and the Jicks,6/3/2018,Thalia Hall,"Chicago, IL",,,,
Split Single,6/22/2018,Temperance Beer Co.,"Evanston, IL",,,,
The New Pornographers,6/22/2018,Temperance Beer Co.,"Evanston, IL",,,,
Sloan,6/23/2018,Bottom Lounge,"Chicago, IL",,,,
Maps & Atlases,6/28/2018,Lincoln Hall,"Chicago, IL",,,,
Caustic,7/12/2018,House of Vans,"Chicago, IL",,,,
The San Andreas Fault,7/12/2018,House of Vans,"Chicago, IL",,,,
Youth Code,7/12/2018,House of Vans,"Chicago, IL",,,,
Dinosaur Jr.,7/19/2018,Temperance Beer Co.,"Evanston, IL",,,,
Purling Hiss,7/19/2018,Temperance Beer Co.,"Evanston, IL",,,,
Big Thief,7/20/2018,Pitchfork Fest,"Chicago, IL",,,,
Courtney Barnett,7/20/2018,Pitchfork Fest,"Chicago, IL",,,,
Tame Impala,7/20/2018,Pitchfork Fest,"Chicago, IL",,,,
Blood Orange,7/21/2018,Pitchfork Fest,"Chicago, IL",,,,
Circuit de Yeux,7/21/2018,Pitchfork Fest,"Chicago, IL",,,,
Moses Sumney,7/21/2018,Pitchfork Fest,"Chicago, IL",,,,
Raphael Saadiq,7/21/2018,Pitchfork Fest,"Chicago, IL",,,,
The War on Drugs,7/21/2018,Pitchfork Fest,"Chicago, IL",,,,
This is Not This Heat,7/21/2018,Pitchfork Fest,"Chicago, IL",,,,
(Sandy) Alex G,7/22/2018,Pitchfork Fest,"Chicago, IL",,,,
Alex Cameron,7/22/2018,Pitchfork Fest,"Chicago, IL",,,,
Chaka Khan,7/22/2018,Pitchfork Fest,"Chicago, IL",,,,
DRAM,7/22/2018,Pitchfork Fest,"Chicago, IL",,,,
Japandroids,7/22/2018,Pitchfork Fest,"Chicago, IL",,,,
Noname,7/22/2018,Pitchfork Fest,"Chicago, IL",,,,
Smino,7/22/2018,Pitchfork Fest,"Chicago, IL",,,,
Collections of Colonies of Bees,7/23/2018,Riviera Theatre,"Chicago, IL",,,,
My Bloody Valentine,7/27/2018,Riviera Theatre,"Chicago, IL",,,,
Sleep,8/1/2018,Riviera Theatre,"Chicago, IL",,,,
Umphrey's McGee,8/11/2018,Lawn at White River State Park,"Indianapolis, IN",,93,,
Smashing Pumpkins,8/13/2018,United Center,"Chicago, IL",,,,
Neil Frances,9/6/2018,Bottom Lounge,"Chicago, IL",,,,
Jason Isbell,9/14/2018,Auditorium Theatre,"Chicago, IL",,,,
Counting Crows,9/22/2018,Pilgrimage Fest,"Franklin, TN",,,,
Kevin Griffin,9/22/2018,Pilgrimage Fest,"Franklin, TN",,,,
Charlatans UK,9/25/2018,Bottom Lounge,"Chicago, IL",,,,
Umphrey's McGee,10/6/2018,Aragon Ballroom,"Chicago, IL",,94,,
Thee Oh Sees,10/12/2018,Thalia Hall,"Chicago, IL",,,,
Liz Phair,10/13/2018,Metro,"Chicago, IL",,,,
Speedy Ortiz,10/13/2018,Metro,"Chicago, IL",,,,
Christopher Zuar Orchestra,10/25/2018,150 N Riverside,"Chicago, IL",,,,
Phish,10/28/2018,Allstate Arena,"Rosemont, IL",,"first Carini, Destiny Unbound",,
Ty Segall,11/2/2018,Thalia Hall,"Chicago, IL",,,,
William Tyler,11/2/2018,Thalia Hall,"Chicago, IL",,,,
J Mascis,11/20/2018,City Winery,"Chicago, IL",,,,
Brendan and Jake Holiday Show,12/7/2018,Park West,"Chicago, IL",,,,
Jay Som,12/13/2018,Schuba's,"Chicago, IL",,,,
Justus Proffitt,12/13/2018,Schuba's,"Chicago, IL",,,,
Bushwick Bill,12/21/2018,Logan Arcade,"Chicago, IL",,*Bushwick's last show?,,
Kool Keith,12/21/2018,Logan Arcade,"Chicago, IL",,,,
Kurt Vile,12/22/2018,Riviera Theatre,"Chicago, IL",,,,
William Tyler,1/26/2019,Toby's House,"Long Beach, CA",,,,
SeepeopleS,2/9/2019,210 Live,"Highwood, IL",,,,
The Samples,2/9/2019,210 Live,"Highwood, IL",,,,
Tobacco City,2/23/2019,Empty Bottle,"Chicago, IL",,,,
Ty Segall & White Fence,2/23/2019,Empty Bottle,"Chicago, IL",,,,
DJ Logic,3/2/2019,HeadCount Retreat,"Round Top, NY",,,,
Fireside Collective,3/10/2019,Thalia Hall,"Chicago, IL",,,,
Yonder Mountain String Band,3/10/2019,Thalia Hall,"Chicago, IL",,,,
Ex Hex,4/10/2019,Thalia Hall,"Chicago, IL",,,,
Amanda Palmer,4/13/2019,Chicago Theatre,"Chicago, IL",,,,
Papa M,4/22/2019,Rockefeller Chapel at UChicago,"Chicago, IL",,,,
SunnO))),4/22/2019,Rockefeller Chapel at UChicago,"Chicago, IL",,,,
Stephen Malkmus,5/8/2019,Fullerton Hall at the Arts Institute,"Chicago, IL",,,,
Jimmy Eat World,5/18/2019,Hangout Fest,"Gulf Shores, AL",,,,
Ariana Grande,6/5/2019,United Center,"Chicago, IL",,,,
Paul McCartney,6/6/2019,Kohl Center,"Madison, WI",,,,
Dead & Co.,6/15/2019,Wrigley Field,"Chicago, IL",,,,
Wye Oak,6/19/2019,House of Vans,"Chicago, IL",,,,
Juliana Hatfield,6/22/2019,Temperance Beer Co.,"Evanston, IL",,,,
Liz Phair,6/22/2019,Temperance Beer Co.,"Evanston, IL",,,,
Deerhunter,7/7/2019,Metro,"Chicago, IL",,,,
Moon Diagrams,7/7/2019,Metro,"Chicago, IL",,,,
Chris Forsyth and the Broken Mirrors Motel Band,7/13/2019,Hideout,"Chicago, IL",,,,
Health & Beauty,7/13/2019,Hideout,"Chicago, IL",,,,
Stereolab,7/19/2019,Thalia Hall,"Chicago, IL",,,,
Jay Som,7/20/2019,Pitchfork Fest,"Chicago, IL",,,,
Stereolab,7/20/2019,Pitchfork Fest,"Chicago, IL",,,,
Griz,8/5/2019,Navy Pier,"Chicago, IL",,,,
Nick Reinhart,8/7/2019,Thalia Hall,"Chicago, IL",,,,
Pinback,8/7/2019,Thalia Hall,"Chicago, IL",,,,
Umphrey's McGee,8/10/2019,Lakefront Green,"Chicago, IL",,,,
Bruce Hornsby,8/11/2019,Canal Shores Golf Course,"Evanston, IL",,,,
Suzanne Vega,8/11/2019,Canal Shores Golf Course,"Evanston, IL",,,,
John Mayer,8/15/2019,United Center,"Chicago, IL",,,,
Ryley Walker,8/16/2019,Hungry Brain,"Chicago, IL",,,,
Umphrey's McGee,8/24/2019,Lawn at White River State Park,"Indianapolis, IN",,,,
King Crimson,9/10/2019,Auditorium Theatre,"Chicago, IL",,,,
Duster,9/14/2019,Sleeping Village,"Chicago, IL",,,,
Wu-Tang Clan,9/14/2019,Riot Fest,"Chicago, IL",,,,
Jamestown Revival,9/21/2019,Farm Aid,"East Troy, WI",,,,
Jamey Johnson,9/21/2019,Farm Aid,"East Troy, WI",,,,
John Mellencamp,9/21/2019,Farm Aid,"East Troy, WI",,,,
Nathaniel Rateliff and the Night Sweats,9/21/2019,Farm Aid,"East Troy, WI",,,,
Neil Young,9/21/2019,Farm Aid,"East Troy, WI",,,,
Leroy Bach / Dan Bitney Duo with Jaimie Stone,9/24/2019,City Winery Riverwalk,"Chicago, IL",,,,
Melvins,9/26/2019,Metro,"Chicago, IL",,,,
REDD KROSS,9/26/2019,Metro,"Chicago, IL",,,,
Modest Mouse,9/27/2019,United Center,"Chicago, IL",,,,
The Black Keys,9/27/2019,United Center,"Chicago, IL",,,,
William Tyler,10/8/2019,Constellation,"Chicago, IL",,,,
Thee Oh Sees,10/12/2019,Thalia Hall,"Chicago, IL",,,,
Sleater-Kinney,10/18/2019,Riviera Theatre,"Chicago, IL",,,,
Bob Dylan,10/30/2019,UIC Pavilion,"Chicago, IL",,,,
Sloan,11/20/2019,Bottom Lounge,"Chicago, IL",,,,
Chastity Belt,11/21/2019,Lincoln Hall,"Chicago, IL",,,,
Maps & Atlases,11/23/2019,Sleeping Village,"Chicago, IL",,,,
Tim & Eric,2/22/2020,Chicago Theatre,"Chicago, IL",,,,
Shellac,3/11/2020,Lincoln Hall,"Chicago, IL",,,,